"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",-0.000338983086734694,0.000440860153458913,33,-0.768912962705046,0.867846988399864
"Abs Abs - Abs Prs",-0.00143435484693878,0.000443081125467187,33,-3.23722849946809,0.0139147889119439
"Abs Abs - Prs Prs",-0.000215579260204081,0.000440860153458913,33,-0.488996926831974,0.961006064922829
"Prs Abs - Abs Prs",-0.00109537176020408,0.000440860153458913,33,-2.48462409589522,0.0810919575045502
"Prs Abs - Prs Prs",0.000123403826530613,0.000443081125467187,33,0.278512939138393,0.992312293706292
"Abs Prs - Prs Prs",0.00121877558673469,0.000440860153458913,33,2.76454013176829,0.043649023633774
