"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",0.0205419875765306,0.000311735204065739,33,0.0197208209120488,0.0213631542410124," a ","Abs:Abs","a",0.02195957,"avg_diameter"
"Prs","Abs",0.0208809706632653,0.00031173520406574,33,0.0200598039987835,0.0217021373277471," ab","Prs:Abs","ab",0.0230654225,"avg_diameter"
"Abs","Prs",0.0219763424234694,0.00031173520406574,33,0.0211551757589876,0.0227975090879512,"  b","Abs:Prs","b",0.0252739525,"avg_diameter"
"Prs","Prs",0.0207575668367347,0.000311735204065739,33,0.0199364001722529,0.0215787335012165," a ","Prs:Prs","a",0.0239080675,"avg_diameter"
