"Df","Sum Sq","Mean Sq","F value","Pr(>F)","FDR"
1,4.6641045830625e-06,4.6641045830625e-06,2.16470894202268,0.150683902735392,0.150683902735392
1,4.62024277562499e-07,4.62024277562499e-07,0.214435175553976,0.646352614557187,0.736576402680526
3,4.39056647395153e-06,1.46352215798384e-06,0.679251385944642,0.571006632489514,NA
1,4.21592351349489e-07,4.21592351349489e-07,0.19566986901811,0.661124674604796,0.76135808668682
33,7.11021459990115e-05,2.15461048481853e-06,NA,NA,NA
