"","diff","lwr","upr","p adj"
"Prs:Abs-Abs:Abs",-2.8185,-6.29517510399055,0.658175103990549,0.147265594214687
"Abs:Prs-Abs:Abs",-0.859,-4.33567510399055,2.61767510399055,0.909366581287805
"Prs:Prs-Abs:Abs",-2.851,-6.32767510399055,0.625675103990549,0.140245982169032
"Abs:Prs-Prs:Abs",1.9595,-1.51717510399055,5.43617510399055,0.43763777431526
"Prs:Prs-Prs:Abs",-0.0325000000000006,-3.50917510399055,3.44417510399055,0.999994151375292
"Prs:Prs-Abs:Prs",-1.992,-5.46867510399055,1.48467510399055,0.423215590442751
