"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",10,28.615,9.17763132113437,2.90222185000848,22.0497180539739,35.1802819460261
"Abs","Prs",10,33.76,9.14882506117589,2.89311251077451,27.2153248109703,40.3046751890297
"Prs","Abs",10,31.16,5.2912296407462,1.67323372877525,27.3748823354155,34.9451176645845
"Prs","Prs",10,27.885,5.44671409608072,1.72240223073603,23.9886554565209,31.7813445434791
