"Interaction","Letters","ypos","Tissue"
"Abs:Abs","a",20.12775,"Roots"
"Abs:Prs","a",22.136,"Roots"
"Prs:Abs","a",15.7285,"Roots"
"Prs:Prs","a",14.58475,"Roots"
