"","diff","lwr","upr","p adj"
"40:0.5-20:0.5",4.5,-0.948679773725925,9.94867977372592,0.128825727762104
"20:1-20:0.5",-2.01,-7.45867977372592,3.43867977372593,0.732752771864166
"40:1-20:0.5",2.36833333333334,-3.08034644039259,7.81701310705926,0.623884007149803
"20:1-40:0.5",-6.51,-11.9586797737259,-1.06132022627407,0.0157001502779609
"40:1-40:0.5",-2.13166666666666,-7.58034644039259,3.31701310705926,0.69653347992084
"40:1-20:1",4.37833333333333,-1.07034644039259,9.82701310705926,0.144242503197669
