"Volume","MS","n","Mean","SD","SE","CI95_low","CI95_high"
"20","0.5",6,19.24,5.23238377797348,2.13611173240852,13.748949981781,24.731050018219
"20","1",6,17.445,4.50670944259778,1.83985642555789,12.7154984922821,22.1745015077179
"40","0.5",6,32.36,9.60440107450746,3.92098031959696,22.2807992125566,42.4392007874434
"40","1",6,41.64,12.021326049983,4.90768580901427,29.0243920043378,54.2556079956622
