"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",14.108056122449,0.80164543243995,33,11.9963776938717,16.2197345510263," a","Abs:Abs","a",20.5705,"Roots"
"Prs","Abs",11.05,0.801645432439949,33,8.93832157142272,13.1616784285773," a","Prs:Abs","a",16.332,"Roots"
"Abs","Prs",13.364943877551,0.80164543243995,33,11.2532654489737,15.4766223061283," a","Abs:Prs","a",22.742,"Roots"
"Prs","Prs",11.6125,0.801645432439949,33,9.50082157142272,13.7241784285773," a","Prs:Prs","a",14.8095,"Roots"
