"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",60.4433571428571,2.15277737028907,33,54.7725538794589,66.1141604062554," a ","Abs:Abs","a",73.1665,"Aerial"
"Prs","Abs",53.4340816326531,2.15277737028907,33,47.7632783692548,59.1048848960513," ab","Prs:Abs","ab",70.277,"Aerial"
"Abs","Prs",54.3326428571429,2.15277737028907,33,48.6618395937446,60.0034461205411," ab","Abs:Prs","ab",73.6105,"Aerial"
"Prs","Prs",48.8959183673469,2.15277737028907,33,43.2251151039487,54.5667216307452,"  b","Prs:Prs","b",59.0995,"Aerial"
