"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",3.05805612244898,1.13369784277102,33,2.69741725447265,0.0508582087337154
"Abs Abs - Abs Prs",0.743112244897959,1.13940920306267,33,0.652190839691758,0.91402739782292
"Abs Abs - Prs Prs",2.49555612244898,1.13369784277102,33,2.20125330427485,0.14396514435968
"Prs Abs - Abs Prs",-2.31494387755102,1.13369784277102,33,-2.04194079781678,0.193586867972955
"Prs Abs - Prs Prs",-0.562500000000001,1.13940920306267,33,-0.493676897192012,0.959949080820088
"Abs Prs - Prs Prs",1.75244387755102,1.13369784277102,33,1.54577684761897,0.422718984822909
