"Df","Sum Sq","Mean Sq","F value","Pr(>F)","FDR"
1,387.25729,387.25729,8.44132228691227,0.00650215078609297,0.00650215078609297
1,336.4,336.4,7.33274980392827,0.0106441864768298,0.0212883729536595
3,912.391358086735,304.130452695578,6.6293475546139,0.00125285027227049,NA
1,6.0586459438775,6.0586459438775,0.132064610157665,0.718618652283647,0.718618652283647
33,1513.92046596939,45.8763777566481,NA,NA,NA
