"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",10,14.166,2.89204637276483,0.914545363676522,12.0971546548553,16.2348453451447
"Abs","Prs",10,13.307,3.41024453342833,1.07841401037717,10.8674580219633,15.7465419780367
"Prs","Abs",10,11.3475,3.26932311206939,1.03385074411692,9.00876713393165,13.6862328660683
"Prs","Prs",10,11.315,1.62667008196363,0.514398246065785,10.1513503231315,12.4786496768685
