"MicB","MicP","Biomass","Block","Tissue","Interaction"
"Prs","Abs",40.005,"1","Aerial","Prs:Abs"
"Abs","Abs",68.01,"1","Aerial","Abs:Abs"
"Prs","Prs",50,"1","Aerial","Prs:Prs"
"Prs","Abs",60.54,"1","Aerial","Prs:Abs"
"Abs","Prs",70.36,"1","Aerial","Abs:Prs"
"Prs","Abs",61.45,"1","Aerial","Prs:Abs"
"Prs","Prs",50.835,"1","Aerial","Prs:Prs"
"Abs","Abs",70.66,"1","Aerial","Abs:Abs"
"Abs","Prs",62.355,"1","Aerial","Abs:Prs"
"Abs","Abs",62.375,"1","Aerial","Abs:Abs"
"Prs","Prs",57.445,"2","Aerial","Prs:Prs"
"Prs","Abs",49.67,"2","Aerial","Prs:Abs"
"Abs","Prs",61.885,"2","Aerial","Abs:Prs"
"Abs","Prs",55.25,"2","Aerial","Abs:Prs"
"Prs","Abs",63.725,"2","Aerial","Prs:Abs"
"Abs","Prs",57.435,"2","Aerial","Abs:Prs"
"Abs","Abs",61.085,"2","Aerial","Abs:Abs"
"Prs","Abs",55.96,"2","Aerial","Prs:Abs"
"Prs","Prs",41.705,"2","Aerial","Prs:Prs"
"Abs","Abs",66.66,"2","Aerial","Abs:Abs"
"Abs","Prs",51.44,"3","Aerial","Abs:Prs"
"Prs","Prs",40.9,"3","Aerial","Prs:Prs"
"Abs","Abs",58.23,"3","Aerial","Abs:Abs"
"Abs","Abs",56.29,"3","Aerial","Abs:Abs"
"Prs","Prs",52.075,"3","Aerial","Prs:Prs"
"Abs","Prs",51.935,"3","Aerial","Abs:Prs"
"Abs","Prs",48.52,"3","Aerial","Abs:Prs"
"Prs","Prs",51.2,"3","Aerial","Prs:Prs"
"Prs","Abs",60.27,"3","Aerial","Prs:Abs"
"Prs","Abs",67.525,"3","Aerial","Prs:Abs"
"Abs","Abs",55.355,"4","Aerial","Abs:Abs"
"Abs","Prs",49.27,"4","Aerial","Abs:Prs"
"Abs","Prs",37.855,"4","Aerial","Abs:Prs"
"Prs","Prs",48.05,"4","Aerial","Prs:Prs"
"Prs","Abs",40.96,"4","Aerial","Prs:Abs"
"Prs","Prs",48.1,"4","Aerial","Prs:Prs"
"Prs","Abs",41.97,"4","Aerial","Prs:Abs"
"Abs","Abs",45.595,"4","Aerial","Abs:Abs"
"Prs","Prs",40.915,"4","Aerial","Prs:Prs"
"Abs","Abs",57.195,"4","Aerial","Abs:Abs"
"Prs","Abs",3.055,"1","Roots","Prs:Abs"
"Abs","Abs",15.755,"1","Roots","Abs:Abs"
"Prs","Prs",11.295,"1","Roots","Prs:Prs"
"Prs","Abs",12.635,"1","Roots","Prs:Abs"
"Abs","Prs",21.53,"1","Roots","Abs:Prs"
"Prs","Abs",15.125,"1","Roots","Prs:Abs"
"Prs","Prs",14.36,"1","Roots","Prs:Prs"
"Abs","Abs",19.685,"1","Roots","Abs:Abs"
"Abs","Prs",14.77,"1","Roots","Abs:Prs"
"Abs","Abs",15,"1","Roots","Abs:Abs"
"Prs","Prs",10.895,"2","Roots","Prs:Prs"
"Prs","Abs",12.685,"2","Roots","Prs:Abs"
"Abs","Prs",14.77,"2","Roots","Abs:Prs"
"Abs","Prs",13.64,"2","Roots","Abs:Prs"
"Prs","Abs",13.995,"2","Roots","Prs:Abs"
"Abs","Prs",12.765,"2","Roots","Abs:Prs"
"Abs","Abs",15.225,"2","Roots","Abs:Abs"
"Prs","Abs",11.625,"2","Roots","Prs:Abs"
"Prs","Prs",14.13,"2","Roots","Prs:Prs"
"Abs","Abs",16.925,"2","Roots","Abs:Abs"
"Abs","Prs",10.25,"3","Roots","Abs:Prs"
"Prs","Prs",10.295,"3","Roots","Prs:Prs"
"Abs","Abs",12.56,"3","Roots","Abs:Abs"
"Abs","Abs",11.095,"3","Roots","Abs:Abs"
"Prs","Prs",9.965,"3","Roots","Prs:Prs"
"Abs","Prs",9.41,"3","Roots","Abs:Prs"
"Abs","Prs",10.955,"3","Roots","Abs:Prs"
"Prs","Prs",10.715,"3","Roots","Prs:Prs"
"Prs","Abs",11.365,"3","Roots","Prs:Abs"
"Prs","Abs",10.875,"3","Roots","Prs:Abs"
"Abs","Abs",11.13,"4","Roots","Abs:Abs"
"Abs","Prs",11.795,"4","Roots","Abs:Prs"
"Abs","Prs",13.185,"4","Roots","Abs:Prs"
"Prs","Prs",11.37,"4","Roots","Prs:Prs"
"Prs","Abs",10,"4","Roots","Prs:Abs"
"Prs","Prs",10.26,"4","Roots","Prs:Prs"
"Prs","Abs",12.115,"4","Roots","Prs:Abs"
"Abs","Abs",10.83,"4","Roots","Abs:Abs"
"Prs","Prs",9.865,"4","Roots","Prs:Prs"
"Abs","Abs",13.455,"4","Roots","Abs:Abs"
