"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",7.00927551020407,3.04448695383269,33,2.30228462676778,0.118103537827496
"Abs Abs - Abs Prs",6.11071428571429,3.05982451666518,33,1.99707998038207,0.209640692851745
"Abs Abs - Prs Prs",11.5474387755102,3.04448695383269,33,3.79290138227499,0.0032238137273719
"Prs Abs - Abs Prs",-0.898561224489788,3.04448695383269,33,-0.295143726386672,0.990886559405906
"Prs Abs - Prs Prs",4.53816326530613,3.05982451666518,33,1.48314494527031,0.458780582623659
"Abs Prs - Prs Prs",5.43672448979592,3.04448695383269,33,1.78576048189389,0.298048028753579
