"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",0.520195655019898,0.0162942952518787,73,0.478582698985507,0.561808611054289," a  ","Abs:Abs","a",0.6241347654,"Roots"
"Prs","Abs",0.618328026587245,0.0162942952518787,73,0.576715070552854,0.659940982621636,"  b ","Prs:Abs","b",0.7644174694,"Roots"
"Abs","Prs",0.685654060030102,0.0162942952518787,73,0.644041103995711,0.727267016064493,"   c","Abs:Prs","c",0.9467980601,"Roots"
"Prs","Prs",0.731386805362755,0.0162942952518787,73,0.689773849328364,0.772999761397146,"   c","Prs:Prs","c",0.9139424029,"Roots"
