"Interaction","Letters","ypos","Tissue"
"Abs:Prs","a",2.7849767023,"Aerial"
"Prs:Prs","a",2.8053015849,"Aerial"
"Abs:Abs","a",2.46680097365,"Aerial"
"Prs:Abs","a",2.72594218955,"Aerial"
