"","diff","lwr","upr","p adj"
"Prs:Abs-Abs:Abs",-0.0441204652000005,-0.288240284874339,0.199999354474338,0.96442058096998
"Abs:Prs-Abs:Abs",0.0710954958000003,-0.173024323874338,0.315215315474338,0.869916399178173
"Prs:Prs-Abs:Abs",0.0223681104,-0.221751709274338,0.266487930074338,0.995055389040369
"Abs:Prs-Prs:Abs",0.115215961000001,-0.128903858674337,0.359335780674339,0.603753777179136
"Prs:Prs-Prs:Abs",0.0664885756000004,-0.177631244074338,0.310608395274338,0.890675271615029
"Prs:Prs-Abs:Prs",-0.0487273854000003,-0.292847205074338,0.195392434274338,0.952965858104221
