"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",20,0.5225570975,0.041838072646104,0.00935527744842631,0.50297627676478,0.54213791823522
"Abs","Prs",20,0.68329261755,0.0907931814102914,0.0203019725526882,0.640800100645286,0.725785134454714
"Prs","Abs",20,0.61276175115,0.0728110653871212,0.0162810491719785,0.578685123602044,0.646838378697955
"Prs","Prs",20,0.7369530808,0.093622587771535,0.0209346470486593,0.693136360956608,0.780769800643392
