"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",-0.098132371567347,0.0230436133345184,73,-4.25854965290312,0.000346266239152349
"Abs Abs - Abs Prs",-0.165458405010204,0.0231597028014024,73,-7.14423697182268,3.26940496897521e-09
"Abs Abs - Prs Prs",-0.211191150342857,0.0230436133345184,73,-9.16484525569181,0
"Prs Abs - Abs Prs",-0.0673260334428572,0.0230436133345184,73,-2.92167866495163,0.023449350394653
"Prs Abs - Prs Prs",-0.11305877877551,0.0231597028014024,73,-4.88170248750619,3.51483092095872e-05
"Abs Prs - Prs Prs",-0.0457327453326531,0.0230436133345184,73,-1.98461693783706,0.203218610285637
