"Interaction","Letters","ypos","Tissue"
"Abs:Abs","a",56.5985,"Aerial"
"Prs:Prs","a",42.6895,"Aerial"
"Abs:Prs","a",62.8275,"Aerial"
"Prs:Abs","a",32.4945,"Aerial"
