"","diff","lwr","upr","p adj"
"Prs:Abs-Abs:Abs",-12.654,-30.5872760545264,5.27927605452643,0.245894742129363
"Abs:Prs-Abs:Abs",-7.37,-25.3032760545264,10.5632760545264,0.687707528147159
"Prs:Prs-Abs:Abs",-6.796,-24.7292760545264,11.1372760545264,0.738549345429687
"Abs:Prs-Prs:Abs",5.284,-12.6492760545264,23.2172760545264,0.856891744079158
"Prs:Prs-Prs:Abs",5.858,-12.0752760545264,23.7912760545264,0.815280926926369
"Prs:Prs-Abs:Prs",0.573999999999998,-17.3592760545264,18.5072760545264,0.999765871615335
