"Interaction","Letters","ypos","Tissue"
"Abs:Abs","a",12.7975,"Roots"
"Abs:Prs","a",15.01,"Roots"
"Prs:Prs","a",8.1345,"Roots"
"Prs:Abs","a",6.788,"Roots"
