"","diff","lwr","upr","p adj"
"Prs:Abs-Abs:Abs",-3.437,-7.45678151399221,0.582781513992205,0.116303548611597
"Abs:Prs-Abs:Abs",-1.438,-5.45778151399221,2.58178151399221,0.770814751354186
"Prs:Prs-Abs:Abs",-1.798,-5.81778151399221,2.22178151399221,0.627949275306734
"Abs:Prs-Prs:Abs",1.999,-2.02078151399221,6.01878151399221,0.544647309850311
"Prs:Prs-Prs:Abs",1.639,-2.38078151399221,5.65878151399221,0.692941239443793
"Prs:Prs-Abs:Prs",-0.359999999999999,-4.37978151399221,3.65978151399221,0.994975679301755
