"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",3.05805612244898,1.15471857123466,73,2.64831292977233,0.0476899602587861
"Abs Abs - Abs Prs",0.743112244897959,1.16053583007292,73,0.640318226841188,0.918574759511171
"Abs Abs - Prs Prs",2.49555612244898,1.15471857123466,73,2.16118124763565,0.143946040171079
"Prs Abs - Abs Prs",-2.31494387755102,1.15471857123466,73,-2.00476889799721,0.195685404519751
"Prs Abs - Prs Prs",-0.5625,1.16053583007292,73,-0.484689903942609,0.962265780695395
"Abs Prs - Prs Prs",1.75244387755102,1.15471857123466,73,1.51763721586053,0.432340620840593
