"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",60.4433571428571,3.12812145402907,73,52.4546483018449,68.4320659838694," a","Abs:Abs","a",91.104,"Aerial"
"Prs","Abs",53.434081632653,3.12812145402907,73,45.4453727916408,61.4227904736653," a","Prs:Abs","a",72.615,"Aerial"
"Abs","Prs",54.3326428571428,3.12812145402907,73,46.3439340161306,62.3213516981551," a","Abs:Prs","a",98.835,"Aerial"
"Prs","Prs",48.8959183673469,3.12812145402907,73,40.9072095263347,56.8846272083592," a","Prs:Prs","a",75.692,"Aerial"
