"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",14.108056122449,0.816509332082069,73,12.0228252847616,16.1932869601364," a ","Abs:Abs","a",24.534,"Roots"
"Prs","Abs",11.05,0.816509332082069,73,8.96476916231258,13.1352308376874,"  b","Prs:Abs","b",19.885,"Roots"
"Abs","Prs",13.364943877551,0.81650933208207,73,11.2797130398636,15.4501747152384," ab","Abs:Prs","ab",28.477,"Roots"
"Prs","Prs",11.6125,0.81650933208207,73,9.52726916231258,13.6977308376874," ab","Prs:Prs","ab",16.551,"Roots"
