"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",7.00927551020408,4.42383178503816,73,1.58443536074544,0.393785330876545
"Abs Abs - Abs Prs",6.11071428571429,4.44611823230901,73,1.37439311471949,0.519311588063097
"Abs Abs - Prs Prs",11.5474387755102,4.42383178503816,73,2.61027980642591,0.0523837475033545
"Prs Abs - Abs Prs",-0.898561224489798,4.42383178503816,73,-0.203118307420463,0.997007786260082
"Prs Abs - Prs Prs",4.53816326530612,4.44611823230902,73,1.02070233587767,0.737897751102888
"Abs Prs - Prs Prs",5.43672448979592,4.42383178503816,73,1.22896275310093,0.610636491352778
