"MicB","MicP","emmean","SE","df","lower.CL","upper.CL",".group","Interaction","Letters","ypos","Tissue"
"Abs","Abs",0.520195655034694,0.0233137973145447,33,0.458782914582219,0.581608395487169," a  ","Abs:Abs","a",0.5957616928,"Roots"
"Prs","Abs",0.618328026637756,0.0233137973145447,33,0.55691528618528,0.679740767090231,"  b ","Prs:Abs","b",0.7587615116,"Roots"
"Abs","Prs",0.685654060065306,0.0233137973145447,33,0.624241319612831,0.747066800517782,"  bc","Abs:Prs","bc",0.9214601674,"Roots"
"Prs","Prs",0.731386805362245,0.0233137973145447,33,0.66997406490977,0.792799545814721,"   c","Prs:Prs","c",0.8966280411,"Roots"
