"Interaction","Letters","ypos","Tissue"
"Abs:Prs","a",2.64490175455,"Aerial"
"Prs:Prs","a",2.5474015724,"Aerial"
"Abs:Abs","a",2.27001716065,"Aerial"
"Prs:Abs","a",2.6156840048,"Aerial"
