"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",-0.0981323716030614,0.0329706883526466,33,-2.97635192063511,0.0265104441045008
"Abs Abs - Abs Prs",-0.165458405030612,0.0331367885895363,33,-4.99319373039243,0.00010672043239135
"Abs Abs - Prs Prs",-0.211191150327551,0.0329706883526466,33,-6.40542132662506,1.71265434190104e-06
"Prs Abs - Abs Prs",-0.0673260334275508,0.0329706883526466,33,-2.0419965973245,0.193567483285603
"Prs Abs - Prs Prs",-0.11305877872449,0.0331367885895363,33,-3.41188097992666,0.00889156222781773
"Abs Prs - Prs Prs",-0.0457327452969388,0.0329706883526466,33,-1.38707280866545,0.516107494067258
