"","diff","lwr","upr","p adj"
"Prs:Abs-Abs:Abs",-0.0441204652,-0.374075442236833,0.285834511836833,0.983750190547825
"Abs:Prs-Abs:Abs",0.0710954956000007,-0.258859481436832,0.401050472636834,0.937357711784913
"Prs:Prs-Abs:Abs",0.0223681105000004,-0.307586866536833,0.352323087536833,0.997798790402452
"Abs:Prs-Prs:Abs",0.115215960800001,-0.214739016236832,0.445170937836834,0.783394621070064
"Prs:Prs-Prs:Abs",0.0664885757000004,-0.263466401336833,0.396443552736833,0.947907795736665
"Prs:Prs-Abs:Prs",-0.0487273851000003,-0.378682362136833,0.281227591936833,0.978357861191541
