"Df","Sum Sq","Mean Sq","F value","Pr(>F)","FDR"
1,55.4445,55.4445,0.291545788404528,0.590875060174527,0.726468788487075
1,17.4845,17.4845,0.0919393688708344,0.76258842215565,0.871874456031999
3,542.446260204082,180.815420068027,0.950788161123808,0.420701885056243,NA
1,318.982903061224,318.982903061224,1.67731915628331,0.199362056997615,0.39872411399523
73,13882.7198367347,190.174244338831,NA,NA,NA
