"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",20,28.615,16.220561188293,3.6270277450218,21.0235436836631,36.2064563163369
"Abs","Prs",20,33.76,15.8380089126061,3.54148645568347,26.3475836598933,41.1724163401067
"Prs","Abs",20,31.16,9.69304688396465,2.16743117416375,26.6235144162008,35.6964855837992
"Prs","Prs",20,27.885,12.2248355924797,2.73355633985435,22.1636008266045,33.6063991733955
