"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",20,8.9,4.60777375175566,1.03032953338649,6.74349550265479,11.0565044973452
"Abs","Prs",20,9.055,3.99835163404542,0.894058605167292,7.18371383333412,10.9262861666659
"Prs","Abs",20,8.9,2.35662559829225,0.526957503529759,7.79706526946126,10.0029347305387
"Prs","Prs",20,8.48,3.31116134818046,0.740398185900135,6.93032878707074,10.0296712129293
