"Interaction","Letters","ypos","Tissue"
"40:1","a",287.310095305,"0-2 px"
"40:0.5","ab",169.03668192,"0-2 px"
"20:0.5","bc",118.27879258,"0-2 px"
"20:1","c",97.95268319,"0-2 px"
