"Df","Sum Sq","Mean Sq","F value","Pr(>F)","FDR"
1,336378.023610099,336378.023610099,24.2515409780106,0.000152415474841808,0.000304830949683615
1,6037.86910440766,6037.86910440766,0.435306767171963,0.518781654762618,0.577179159535688
1,21652.0663665588,21652.0663665588,1.56102937139512,0.22948374360175,0.458967487203499
16,221926.036891495,13870.3773057185,NA,NA,NA
