"Interaction","Letters","ypos","Tissue"
"40:1","a",491.42718141,"2-5 px"
"40:0.5","a",408.88064914,"2-5 px"
"20:0.5","ab",267.48656122,"2-5 px"
"20:1","b",219.484775025,"2-5 px"
