"Interaction","Letters","ypos","Tissue"
"40:1","a",140.856764895,">5 px"
"40:0.5","a",104.70806211,">5 px"
"20:0.5","ab",61.2228392,">5 px"
"20:1","b",44.365422445,">5 px"
