"Interaction","Letters","ypos","Tissue"
"Abs:Prs","a",0.02503852625,"avg_diameter"
"Prs:Abs","a",0.02291032375,"avg_diameter"
"Prs:Prs","a",0.02367772125,"avg_diameter"
"Abs:Abs","a",0.021850985,"avg_diameter"
