"","diff","lwr","upr","p adj"
"40:0.5-20:0.5",101.218081908333,-32.9977821601656,235.433945976832,0.177529280937007
"20:1-20:0.5",-67.8484789416666,-187.894797228081,52.1978393447474,0.3973571051168
"40:1-20:0.5",128.996418833333,-5.21944523516564,263.212282901832,0.0617887678053519
"20:1-40:0.5",-169.06656085,-303.282424918499,-34.850696781501,0.011462209151586
"40:1-40:0.5",27.778336925,-119.247775725728,174.804449575728,0.947751310107132
"40:1-20:1",196.844897775,62.629033706501,331.060761843499,0.00343716158398821
