"Volume","MS","n","Mean","SD","SE","CI95_low","CI95_high"
"20","0.5",6,83.6932614166667,22.2995429008659,9.10375026740406,60.2913263431086,107.095196490225
"20","1",6,71.1129303333333,15.2097339399284,6.20934787938598,55.1512934634369,87.0745672032298
"40","0.5",4,143.48224575,16.764298614776,8.38214930738802,116.806505656367,170.157985843633
"40","1",4,157.9698866375,79.417823297712,39.708911648856,31.598407473761,284.341365801239
