"term","df","sumsq","meansq","statistic","p.value"
"Volume",1,1.97764255008333e-06,1.97764255008333e-06,1.06573399095059,0.317264122431363
"MS",1,6.010391205e-07,6.010391205e-07,0.323894639393205,0.577179159535688
"Volume:MS",1,2.49678264083336e-07,2.49678264083336e-07,0.134549397121304,0.718566845859036
"Residuals",16,2.96905992208334e-05,1.85566245130208e-06,NA,NA
