"Interaction","Letters","ypos","Tissue"
"40:1","a",859.46755144,"total_length"
"40:0.5","ab",682.53653688,"total_length"
"20:0.5","bc",417.1305475,"total_length"
"20:1","c",322.66896413,"total_length"
