"","diff","lwr","upr","p adj"
"Prs:Abs-Abs:Abs",0.000432752500000001,-0.00100066537678112,0.00186617037678113,0.847873177011155
"Abs:Prs-Abs:Abs",0.00136906,-6.43578767811235e-05,0.00280247787678113,0.0656639900251829
"Prs:Prs-Abs:Abs",5.65150000000035e-05,-0.00137690287678112,0.00148993287678113,0.999563089475419
"Abs:Prs-Prs:Abs",0.000936307500000001,-0.000497110376781125,0.00236972537678113,0.309238046937843
"Prs:Prs-Prs:Abs",-0.000376237499999998,-0.00180965537678112,0.00105718037678113,0.89369691258297
"Prs:Prs-Abs:Prs",-0.001312545,-0.00274596287678112,0.000120872876781127,0.0827551832183894
