"Interaction","Letters","ypos","Tissue"
"40:1","a",277.8631612525,"Rhizo"
"40:0.5","ab",167.26093966,"Rhizo"
"20:0.5","bc",115.49910389,"Rhizo"
"20:1","c",96.08210527,"Rhizo"
