"term","df","sumsq","meansq","statistic","p.value"
"Volume",1,112126.009670156,112126.009670156,46.1013408593751,1.54474541704963e-08
"MS",1,2012.6231853866,2012.6231853866,0.827503161522791,0.367540838326082
"diameter_class",2,404507.100273897,202253.550136949,83.1578674948956,2.53800402072397e-16
"Volume:MS",1,7217.35567939579,7217.35567939579,2.96746290408419,0.0913930688252198
"Volume:diameter_class",2,28906.6995640489,14453.3497820244,5.94258911755634,0.00494453415973137
"MS:diameter_class",2,2440.65430638975,1220.32715319487,0.501745475602722,0.608612997344025
"Volume:MS:diameter_class",2,4797.5732194744,2398.7866097372,0.98627677440513,0.380393150425783
"Residuals",48,116743.859589346,2432.16374144471,NA,NA
