"","diff","lwr","upr","p adj"
"40:0.5-20:0.5",36.5540163,-6.82630232561623,79.9343349256162,0.115006625561257
"20:1-20:0.5",-8.05162749166665,-46.8521640246579,30.7489090413246,0.93252048313841
"40:1-20:0.5",40.1332842875,-3.2470343381162,83.5136029131163,0.0749170724936346
"20:1-40:0.5",-44.6056437916667,-87.9859624172829,-1.22532516605042,0.0427906807669037
"40:1-40:0.5",3.57926798750003,-43.941490138523,51.1000261135231,0.996317024742984
"40:1-20:1",48.1849117791667,4.80459315355045,91.5652304047829,0.0269443967702296
