"term","df","sumsq","meansq","statistic","p.value"
"Volume",1,106609.847829248,106609.847829248,20.1845983723669,0.000369049532835301
"MS",1,4380.13479337415,4380.13479337415,0.829297324977812,0.375991518138024
"Volume:MS",1,10973.3854953568,10973.3854953568,2.07760712090771,0.168760043327868
"Residuals",16,84507.8774320917,5281.74233950573,NA,NA
