"","diff","lwr","upr","p adj"
"40:0.5-20:0.5",197.561081458333,-19.9389798171123,415.061142733779,0.0818897079322404
"20:1-20:0.5",-88.4804353833332,-283.01840423224,106.057533465573,0.575252001580325
"40:1-20:0.5",243.406327308333,25.9062660328875,460.906388583779,0.0256976553986101
"20:1-40:0.5",-286.041516841667,-503.541578117112,-68.5414555662209,0.00830563100906356
"40:1-40:0.5",45.8452458499999,-192.414133788635,284.104625488635,0.945063245905408
"40:1-20:1",331.886762691666,114.386701416221,549.386823967112,0.0024355323992965
