"Interaction","Letters","ypos","Tissue"
"40:1","a",135.8865700475,"tmp"
"40:0.5","a",101.749296755,"tmp"
"20:0.5","ab",59.5062564,"tmp"
"20:1","b",42.9260911225,"tmp"
