"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",20,510.9825042175,252.597263940722,56.4824653101911,392.763345670987,629.201662764013
"Abs","Prs",20,491.845109485,232.85182268951,52.0672504218471,382.867101905173,600.823117064827
"Prs","Abs",20,517.141377795,144.201836737492,32.2445109425359,449.65284076964,584.62991482036
"Prs","Prs",20,480.7136414,179.305336151166,40.0938920362458,396.796160933288,564.631121866712
