"MicB","MicP","n","Mean","SD","SE","CI95_low","CI95_high"
"Abs","Abs",20,0.020574635,0.00162411613299276,0.000363163407672591,0.0198145252520604,0.0213347447479396
"Abs","Prs",20,0.021943695,0.0019037140808997,0.000425683409461526,0.0210527293844345,0.0228346606155655
"Prs","Abs",20,0.0210073875,0.00119031926951896,0.000266163480157229,0.0204503009336259,0.0215644740663741
"Prs","Prs",20,0.02063115,0.00169619023363661,0.000379279666518271,0.0198373085346293,0.0214249914653707
