"contrast","estimate","SE","df","t.ratio","p.value"
"Abs Abs - Prs Abs",-0.000338983086734693,0.000473586193957418,73,-0.715779072658466,0.890524041941039
"Abs Abs - Abs Prs",-0.00143435484693877,0.000475972033711889,73,-3.01352757167873,0.0182299141015636
"Abs Abs - Prs Prs",-0.000215579260204081,0.000473586193957418,73,-0.455205964520715,0.968408776849453
"Prs Abs - Abs Prs",-0.00109537176020408,0.000473586193957418,73,-2.31293009420492,0.104448384460305
"Prs Abs - Prs Prs",0.000123403826530612,0.000475972033711889,73,0.259266969044887,0.993839613645904
"Abs Prs - Prs Prs",0.00121877558673469,0.000473586193957418,73,2.57350320234267,0.0572938231829521
